Title,Author,Publication_Date,Genres,Summary,image
The Heart Is a Lonely Hunter,Carson McCullers,1940,['Fiction'],"The struggles of four of John Singer's acquaintances make up the majority of the narrative. They are: Mick Kelly, a tomboyish young girl who loves music and dreams of buying a piano; Jake Blount, an alcoholic labor agitator; Biff Brannon, the observant owner of a diner; and Dr. Benedict Copeland, an idealistic African American doctor.",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A709A50>
The Postman,David Brin,1985,"['Science Fiction', 'Apocalyptic and postapocalyptic fiction', 'Childrens literature', 'Speculative fiction', 'Fiction']"," Despite the post-apocalyptic scenario, and several action sequences, the book is largely about civilization and symbols. Each of the three sections deals with a different symbol. The first is the Postman himself, Gordon Krantz, who takes the uniform solely for warmth after he loses everything but his sleeping clothes. He wanders without establishing himself anywhere, and acts in scenes of William Shakespeare for supplies. Originally from Minnesota, he has traveled as far West as Oregon. Taking shelter in a",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A70B340>
Harry Potter and the Chamber of Secrets,J. K. Rowling,1998-07-02,"['Speculative fiction', 'Fantasy', 'Fiction']"," Harry Potter and the Chamber of Secrets begins as Harry spends a miserable summer with his only remaining family, the Dursleys. During a dinner party hosted by his uncle and aunt, Harry is visited by Dobby, a house-elf. Dobby warns Harry not to return to Hogwarts, the magical school for wizards that Harry attended the previous year, explaining that terrible things will happen there. Harry politely disregards the warning, and Dobby wreaks havoc in the kitchen, infuriating",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A70B310>
American Psycho,Bret Easton Ellis,1991,"['Satire', 'Horror', 'Speculative fiction', 'Suspense', 'Fiction']"," Set in Manhattan during the Wall Street boom of the late 1980s, American Psycho is about the daily life of wealthy young investment banker Patrick Bateman. Bateman, in his late 20s when the story begins, narrates his everyday activities, from his recreational life among the Wall Wall Street elite of New York to his forays into murder by nightfall. Through present tense stream-of-consciousness narrative, Bateman describes his daily life, ranging from a series of Friday nights",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A70B250>
Kalimantaan,C. S. Godshalk,1998-04,"['Speculative fiction', 'Novel']"," In 1839, an English adventurer arrived on the northwest coast of Borneo, commissioned to deliver a letter of gratitude to the Sultan of Brunei for having safely returned the crew of a British merchantman, lost on his coast. It was a region full of headhunters, pirate tribes, and slave traders. Most Europeans with the temerity to enter the region had never been heard from again. This particular adventurer, however, seems to know how to play one power against another",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A70B370>
Creatures of Light and Darkness,Roger Zelazny,1969,"['Science Fiction', 'Speculative fiction']"," The Universe was once ruled by the god Thoth, who administered the different forces in the Universe to keep things in balance. In time, he delegated this administration to his ""Angels"" (other god-like beings), who were each in charge of different ""stations"", or forces in which they were responsible for maintaining the balance of the Universe. Such stations included the House of the Dead, the House Of Life, the house of Fire, and so on. At some point",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A70B3D0>
The Handmaid's Tale,Margaret Atwood,1985,"['Science Fiction', 'Feminist science fiction', 'Speculative fiction', 'Utopian and dystopian fiction', 'Dystopia', 'Novel']"," The Handmaid's Tale is set in the near future in the Republic of Gilead, a country formed within the borders of what was formerly the United States of America. It was founded by a racist, homophobic, christian, nativist, theocratic-organized military coup as an ideologically driven response to the pervasive ecological, physical and social degradation of the country. Beginning with a staged terrorist attack (blamed on Islamic extremist terrorists) that kills the President and most of Congress,",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A70B400>
The Pearl,Gregory McElwain,1947,"['Fiction', 'Novella']"," Kino, a young, strong, poor pearl diver, lives in a small town, La Paz, with his wife Juana, and his baby son, Coyotito. When the baby, Coyotaito, is stung by a scorpion, Kino must find a way to pay the town doctor so he will cure him. Shortly thereafter, Tino discovers an enormous pearl while out diving with Juana and he is ready to sell it for money to pay for",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A70B2E0>
Barchester Towers,Anthony Trollope,1857,"['Historical fiction', 'Fiction']"," Barchester Towers concerns the leading clergy of the imaginary cathedral city of Barchester. The much loved bishop having died, all expectations are that his son, Archdeacon Grantly, will succeed him. Instead, owing to the passage of the power of patronage to a new Prime Minister, a newcomer, the far more Evangelical Bishop Proudie, gains the see. His wife, Mrs Proudie is an undue influence over the new bishop, making herself as well as the bishop unpopular with",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A70BD60>
Our Man in Havana,Graham Greene,1958-12,"['Speculative fiction', 'Fiction', 'Novel']"," The novel, a black comedy, is set in Havana during the Fulgencio Batista regime. James Wormold, a vacuum cleaner retailer, is approached by Hawthorne, who offers him work for the British secret service. Wormold's wife had divorced him and now he lives with his sixteen year-old beautiful and devoutly Catholic daughter Milly. Since Wormold does not make enough money to pay Milly's extravagances, he accepts the offer. Because he has no",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A70B6D0>
East Wind: West Wind,Pearl S. Buck,1930,['Novel']," Kwei-lan is put into an arranged marriage, but her husband is not what she expects. They do not live in her parents' courts (which was expected in China then). He is a medical doctor and does not seem to take interest in her until after she asks him to unbind her feet. After they bond, they have a son together. Kwei -lan has an older brother who has been living in [[United States for a few years. He has a friend",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A70BEE0>
Steppenwolf,Hermann Hesse,1927,"['Existentialism', 'Speculative fiction', 'Fiction', 'Autobiography', 'Novel']"," The book is presented as a manuscript by its protagonist, a middle-aged man named Harry Haller, who leaves it to a chance acquaintance, the nephew of his landlady. The acquaintance adds a short preface of his own and then has the manuscript published. The title of this ""real"" book-in-the-book is Harry Hallers's Records (For Madmen Only). As it begins, the hero is beset by reflections on his being ill-su",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A70B6A0>
Goldfinger,Ian Fleming,1959-03-23,['Spy fiction'],"Fleming structured the novel in three sections—""Happenstance"", ""Coincidence"" and"" Enemy action""—which was how Goldfinger described Bond's three seemingly coincidental meetings with him. ;Happenedstance Whilst changing planes in Miami after closing down a Mexican heroin smuggling operation, British Secret Service operative James Bond is asked by Junius Du Pont, a rich American businessman (whom he briefly met and gambled with in Casino Royale), to watch Auric",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A70B7F0>
Ironweed,William Kennedy,1983,"['Mystery', 'Fiction']","Ironweed is set during the Great Depression and tells the story of Francis Phelan, an alcoholic vagrant originally from Albany, New York, who left his family after accidentally killing his infant son while he may have been drunk. The novel focuses on Francis's return to Albany, and the narrative is complicated by Phelgan's hallucinations of the three people, other than his son, whom he killed in the past. The book features characters that return in some of Kennedy's other books",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A70BF10>
"Girl, Interrupted",Susanna Kaysen,1993,['Memoir']," In April 1967, 18-year-old Susanna Kaysen is admitted to McLean Hospital, in Belmont, Massachusetts, after attempting suicide. She denies that it was a suicide attempt to a psychiatrist, who suggests she take time to regroup in McLean, a private mental hospital. Susanna is diagnosed with borderline personality disorder, and her stay extends to 18 months. Fellow patients Polly, Cynthia, Lisa, Lisa Cody, Georgina and Daisy contribute to Susanna�",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A70BBB0>
Small Gods,Terry Pratchett,1992,"['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']"," The Great God Om tries to manifest himself once more in the world, as the time of his eighth prophet is nigh. He is surprised, however, when he finds himself in the body of a tortoise, stripped of his divine powers. In the gardens of Omnia's capital he addresses the novice Brutha, the only one able to hear his voice. Om has a hard time convincing the boy of his godliness, as Bruthas is convinced that Om can do",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A70BFA0>
The Pursuit of Love,Nancy Mitford,1945,"['Autobiography', 'Fiction']"," The narrator is Fanny, whose mother (called ""The Bolter"" for her habit of serial monogamy) and father have left her to be brought up by her Aunt Emily and the valetudinarian Davey, whom Emily marries early in the novel. Fanny also spends holidays with her Uncle Matthew Radlett, Aunt Sadie, and numerous cousins at Alconleigh. Linda, the second Radlett daughter, is Fannie's best friend and the main character",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A70B850>
Moonraker,Ian Fleming,1955-04-05,['Spy fiction']," British Secret Service agent James Bond is asked by his superior, M, to join him for the evening at M's club, Blades, where one of the members, the multi-millionaire businessman Sir Hugo Drax, is winning a lot of money playing bridge, seemingly against the odds. M suspects Drax of cheating, but although claiming indifference, he is concerned why a multi-billionaire and national hero, such as Sir Hugo, would cheat at a card game. Bond confirms",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A70BE80>
Sophie's Choice,William Styron,1979,['Novel']," Sophie's Choice is narrated by Stingo, a novelist who is recalling the summer when he began his first novel. As the story begins, in the early summer of 1947, Stingo (like Styron, a writer and Duke graduate) has been fired from his low-level reader's job at the publisher McGraw-Hill and has moved into a cheap boarding house in Brooklyn, where he hopes to devote some months to his writing. While he is working on his novel, he",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A70B520>
Season of the Jew,Maurice Shadbolt,1987-02-01,['Novel']," In this story of New Zealand and Te Kooti's War during the year beginning November 10, 1868, the narrative coalesces around the development of its protagonist, George Fairweather, who in Shadbolt’s historical epilogue is described as “A composite character... yet still far from fictional.” Fairweather is a competent but cynical former British officer in his early forties, who leaves the service under a cloud, turns landscape painter and cultivates an",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A70B190>
The White Plague,Frank Herbert,1982,"['Science Fiction', 'Speculative fiction', 'Fiction']"," When an IRA bomb goes off, the wife and children of molecular biologist John Roe O'Neill are killed on May 20, 1996. Driven halfway insane by loss, his mind fragments into several personalities that carry out his plan for him. He plans a genocidal revenge and creates a plague that kills women. O'Neil then releases it in Ireland (for supporting the terrorists), England (for oppressing the Irish and giving them a cause), and Libya (for training said terrorists",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A70B4F0>
The Pilgrim's Progress,John Bunyan,1678-02,['Speculative fiction']," Christian, an everyman character, is the protagonist of the allegory, which centres itself in his journey from his hometown, the ""City of Destruction"" (""this world""), to the ""Celestial City"" (""that which is to come"": Heaven) atop Mt. Zion. Christian is weighed down by a great burden, the knowledge of his sin, which he believed came from his reading ""the book in his hand,"" (the Bible). This burden, which would cause him",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A70B5B0>
The Santaroga Barrier,Frank Herbert,1968,"['Science Fiction', 'Speculative fiction', 'Fiction']"," A psychologist, Gilbert Dasein, is hired by corporate interests to investigate a town in a valley where marketing seems totally ineffective: Outside businesses are allowed in, but wither quickly for lack of business. Santarogans aren't hostile, they just won't shop there; neither are they xenophobic, instead appearing maddeningly self-satisfied with their quaint, local lifestyle. Adding an element of danger, the last few psychologists sent in have all died in accidents",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A70B220>
The Anatomy of Melancholy,Robert Burton,1621,['Philosophy']," Burton defined his subject as follows: In attacking his stated subject, Burton drew from nearly every science of his day, including psychology and physiology, but also astronomy, meteorology, and theology, and even astrology and demonology. Much of the book consists of quotations from various ancient and mediæval medical authorities, beginning with Hippocrates, Aristotle, and Galen. Hence the Anatomy is filled with more or less pertinent references to the works of others. A competent Latinist,",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A70B730>
Red Storm Rising,Tom Clancy,1986-08,"['Technothriller', 'Fiction', 'Novel']"," Islamic terrorists from Azerbaijan destroy a Soviet oil-production facility at Nizhnevartovsk, Russia, crippling the USSR's oil production and threatening to wreck the nation's economy. Contemplating concessions to the West to survive the crisis, the Politburo instead decides to seize the oil fields in the Persian Gulf by military force. According to the Carter Doctrine, any attack on the Gulf is an attack on strategic interests to the United States, necessitating a military response.",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A70B4C0>
"The History of Tom Jones, a Foundling",Henry Fielding,1749-02-28,"['Fiction', 'Novel']"," The novel's events occupy eighteen books. Squire Allworthy and his sister Bridget are introduced in their wealthy estate in Somerset. Allworthy returns from London after an extended business trip and finds a baby sleeping in his bed. He summons his housekeeper, Mrs Deborah Wilkins, to take care of the child. After searching the nearby village, Mrs Wilkins is told about a young woman called Jenny Jones, servant of a schoolmaster and his wife, as the most likely person to",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190198AC0>
The Fall,Albert Camus,1956,['Existentialism']," The novel opens with Clamence sitting in the bar, Mexico City, casually talking to a stranger — the reader, some would say — about the proper way to order a drink; for here, despite the cosmopolitan nature of Amsterdam, the bartender refuses to respond to anything other than Dutch. Thus, Clamé serves as interpreter and he and the stranger, having discovered that they are fellow compatriots who, moreover, both hail from Paris, begin discussing more substantive matters. Cl",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901901988E0>
The Quiet Earth,Craig Harrison,1981,"['Human extinction', 'Science Fiction']"," John Hobson, a geneticist involved in a project concerned with manipulating DNA, awakes in his hotel room in Thames, New Zealand after a nightmare of falling from a great height. His wristwatch has stopped at 6:12. Upon getting up he finds the electricity off. It is quiet outside, with nobody in sight. Hobson checks the time in his car, finding the vehicle's clock is also frozen. The town's shops are locked and unattended, with no sign",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901901988B0>
The Phantom Tollbooth,Norton Juster,1961,"['Childrens literature', 'Fantasy', 'Speculative fiction', 'Fiction']"," Milo is a boy bored by the world around him; every activity seems a waste of time. He arrives home from school one day to find in his bedroom a mysterious package that contains a miniature tollbooth and a map of ""the Lands Beyond"". Attached is a note, ""FOR MILO, WHO HAS PLENTY OF TIME"". He assembles the Tollbooth, takes the map, drives through the tollroadoth in his toy car, and instantly finds himself on",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901901998A0>
The Hundred and One Dalmatians,Dodie Smith,1956,"['Childrens literature', 'Fiction']"," Pongo and Missis Pongo (or simply Missis) are a pair of Dalmatians who live with the newly married Mr. and Mrs. Dearly and their two nannies, Nanny Cook and Nanny Butler. Mr. Dolly is a ""financial wizard"" who has been granted lifelong tax exemption and lent a house on the Outer Circle in Regent's Park in return for wiping out the government debt. The dogs consider the humans their pets, but allow",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190199660>
A Philosophical Investigation,Philip Kerr,1992,"['Thriller', 'Technothriller', 'Speculative fiction']"," In a near-future, a British neuroscientist named Professor Burgess Phelan has discovered a portion of the brain, the VMN, that is typically twice the size in men as it is in women. In certain men, however (approximately 1 in 100,000), it is the same size as a woman's, and that abnormality is an exceptionally accurate indicator of violent sociopathy. Professor Phelin developed an imaging device called L.O.M.B.",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190199210>
The Tortilla Curtain,T. Coraghessan Boyle,1995,"['Fiction', 'Novel']"," Cándido Rincón (33) and América (his pregnant common law wife, 17) are two Mexicans who enter the United States illegally, dreaming of the good life in their own little house somewhere in California. Meanwhile, they are homeless and camping at the bottom of the Topanga Canyon area of Los Angeles, in the hills above Malibu. Another couple, Delaney and Kyra Mossbacher, have recently moved into a gated community on top of",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190199420>
The Fountainhead,Ayn Rand,1943-12,['Fiction']," In the spring of 1922, architecture student Howard Roark is expelled from the fictional Stanton Institute of Technology for refusing to adhere to the school's conventionalism in architecture. Despite an effort by some professors to defend Roark and a subsequent offer to continue at Stanton from the dean, Roark chooses to leave the school. He believes buildings should be sculpted only to fit their location, material and purpose elegantly and efficiently, while his critics insist that adherence to and reverence for historical convention is",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901901999F0>
The Last Continent,Terry Pratchett,1998,"['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']"," The story opens weeks after the events of Interesting Times, in which Rincewind is magically transported to the continent of Xxxx due to a miscalculation made by the Unseen University wizards. He meets the magical kangaroo Scrappy, who was sent by the creator of Fourecks to bring back ""The Wet,"" meaning the rain, and that he is the reason for the eons-long drought.Scrappy says that the continent is unfinished, and time",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901901998D0>
Contact,Carl Sagan,1985-09,"['Science Fiction', 'Speculative fiction', 'Childrens literature', 'Fiction']"," Eleanor ""Ellie"" Arroway is the director of ""Project Argus,"" in which scores of radio telescopes in New Mexico have been dedicated to the search for extraterrestrial intelligence (SETI). The project discovers the first confirmed communication from extraterrestrial beings. The communication is a repeating series of the first 261 prime numbers (a sequence of prime numbers is a commonly predicted first message from alien intelligence, since mathematics is considered a ""universal language,"" and it is conjectured that algorithms that produce",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190199570>
American Gods,Neil Gaiman,2001,"['Science Fiction', 'Childrens literature', 'Horror', 'Novel', 'Speculative fiction', 'Fantasy', 'Fiction']"," The central premise of the novel is that gods and mythological creatures exist because people believe in them. Immigrants to the United States brought with them dwarves, elves, leprechauns, and other spirits and gods. However, the power of these mythological beings has diminished as people's beliefs wane. New gods have arisen, reflecting America's obsessions with media, celebrity, technology, and drugs, among others. The book follows the adventures of ex-convict Shadow",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190199240>
Stardust,Neil Gaiman,1999-02-01,"['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction', 'Novel']"," The Faerie Market is held every nine years on the other side of the wall dividing Faerie from our world and for which the nearby town of Wall is named. As the book begins, the market has just begun and the town filled with visitors and vendors. Dunstan Thorn rents out his cottage to a stranger in exchange for his ""Heart's Desire"" in addition to a monetary payment. The next day in the market, he meets Una, a princess imprisoned by the witch called",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901901995A0>
World on Fire: How Exporting Free Market Democracy Breeds Ethnic Hatred and Global Instability,Amy Chua,2002-12,['Nonfiction'],"In the Philippines, Chua explains, the Chinese Filipino is 1% of the population but controls 60% ofthe economy, with the result being envy and bitterness on the part of the majority against the Chinese minority—in other words, an ethnic conflict. Similarly, in Indonesia the Chinese Indonesians are 3% ofThe population but control 70% of The economy. There is a similar pattern in other Southeast Asia nations. According to Chua, examples of what she calls ethnic market-",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190199450>
The Sword in the Stone,T. H. White,1939-01-01,"['Childrens literature', 'Fantasy', 'Speculative fiction', 'Fiction']","The premise is that Arthur's youth, not dealt with in Malory, was a time when he was tutored by Merlyn to prepare him for the use of power and royal life. Merlyn magically turns Wart into various animals at times. He also has more human adventures, at one point meeting the outlaw Robin Hood, (who is referred to in the novel as Robin Wood). The setting is loosely based on medieval England, and in places it incorporates White's considerable knowledge of",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190198820>
Children of the Mind,Orson Scott Card,1996,"['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']"," At the start of Children of the Mind, Jane, the evolved computer intelligence, is using her newly discovered abilities to take the races of buggers, humans and pequeninos outside the universe and back in instantaneously. She uses these powers to move them to distant habitable planets for colonization. She is losing her memories and concentration as the vast computer network connected to the ansible is being shut down. If she is to survive, she must find a way to transfer her a",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190199ED0>
The Silver Chalice,Thomas B. Costain,1952,['Historical novel']," The Silver Chalice takes place in Israel and other parts of the Roman Empire shortly after the death of Jesus. A young man, Basil, is adopted by a rich man, but loses his fortune when his father dies and his uncle defrauds him claiming he was purchased as a slave and sells him. As a slave he survives by working as an artist and silversmith. He gains his freedom, becomes a Christian and is commissioned to create an outer covering for the cup Jesus drank",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190198C10>
Slaughterhouse-Five,Kurt Vonnegut,1969,"['Science Fiction', 'War novel', 'Philosophy', 'Speculative fiction', 'Fiction', 'Black comedy', 'Time travel']"," Chaplain's Assistant Billy Pilgrim is a disoriented, fatalistic, and ill-trained American soldier. He does not like wars and is captured by the Germans during the Battle of the Bulge. The Germans put Billy and his fellow prisoners in a disused slaughterhouse (although there are animal carcasses hanging in the underground shelter) in Dresden. Their building is known as ""Slaughterhouse number 5."" During the bombing, the POWs and German guards alike hide in a deep",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190198B20>
The Catcher in the Rye,J. D. Salinger,1951-07-16,"['Firstperson narrative', 'Fiction', 'Bildungsroman', 'Novel']"," The majority of the novel takes place over two days in December 1949. Seventeen-year-old Holden Caulfield, the book's narrator and protagonist, addresses the reader directly from a hospital in Southern California, recounting the events leading up to his breakdown the previous December. Holden begins his story at Pencey Prep, an exclusive private school in Agerstown, Pennsylvania, on the Saturday afternoon of the traditional football game with school rival, Saxon Hall. Holden misses the game",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019A200>
The Name of the Rose,Umberto Eco,1980,"['Historical whodunnit', 'Historical fiction', 'Speculative fiction', 'Mystery', 'Fiction', 'Historical novel', 'Suspense']"," Franciscan friar William of Baskerville and his novice Adso of Melk travel to a Benedictine monastery in Northern Italy to attend a theological disputation. As they arrive, the monastery is disturbed by a suicide. As the story unfolds, several other monks die under mysterious circumstances. William is tasked by the Abbot of the monastery to investigate the deaths as fresh clues with each murder victim lead William to dead ends and new clues. The protagonists explore a labyrinthine medieval",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190199FF0>
The Member of the Wedding,Carson McCullers,1946,"['Childrens literature', 'Fiction', 'Novel']"," The novel takes place over a few days in late August. It tells the story of 12-year-old tomboy Frankie Addams, who feels disconnected from the world; in her words, an ""unjoined person."" Frankie's mother died when she was born, and her father is a distant, uncomprehending figure. Her closest companions are the family's African American maid, Berenice Sadie Brown, and his six-year, cousin, John Henry West.",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190198BB0>
Magnificent Obsession,Lloyd C. Douglas,1929,"['Fiction', 'Romance novel', 'Novel']","In the movie, Merrick is resuscitated by a rescue crew after a boating accident. The crew is unable to save the life of Dr. Phillips, a doctor renowned for his ability to help people, who was having a heart attack at the same time on the other side of the lake. Merrick then decides to devote his life to making up for the doctor's, and becomes a physician himself. The book's plot portrays Mrs. Hudson, the widow, moving to Europe",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019A1D0>
V.,Thomas Pynchon,1963,"['Speculative fiction', 'Fiction', 'Novel']"," The novel alternates between episodes featuring Benny, Stencil and other members of the Whole Sick Crew (including Profane's sidekick Pig Bodine) in 1956 (with a few minor flashbacks), and a generation-spanning plot which comprises Stencel's attempts to unravel the clues he believes will lead him to ""V."" (or to the various incarnations thereof). Each of these ""Stencilised"" chapters is set at a different moment of historical crisis; the",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190199F60>
Shogun: A Novel of Japan,James Clavell,1975,"['Historical fiction', 'Fiction']"," Japan in 1600 is a feudal country in a precarious peace. The heir to the Taiko is underage, too young to rule, and power rests in a council of five regents formed of the most powerful overlords of the land. Japanese society is insular and xenophobic. Portugal, with its vast sea power, and the Catholic Church, principally through the Spanish Order of the Jesuits, have gained a foothold in Japan and seek to extend their power. Guns and Europe's modern",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019A170>
Goodnight Moon,Margaret Wise Brown,1947,"['Childrens literature', 'Fiction']"," Goodnight Moon is classic children's literature in North America. The text is a rhyming poem, describing a bunny's bedtime ritual of saying ""goodnight"" to various objects in the bunny's bedroom: the red balloon, the bunny, the dollhouse, the kittens, etc. One aspect of this book is the wealth of detail in the illustrations. Although the entire story takes place in a single room, the careful reader or child will notice numerous details from page to page,",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019AF80>
Elbow Room,Daniel Dennett,1984,['Philosophy']," A major task taken on by Dennett in Elbow Room is to clearly describe just what people are as biological entities and why they find the issue of free will to be of significance. In discussing what people is and why free will matters to us, Dennett makes use of an evolutionary perspective. Dennett describes the mechanical behavior of the digger wasp Sphex. This insect follows a series of genetically programmed steps in preparing for egg laying. If an experimenter interrupts one of these",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019ABC0>
The Adventures of Captain Underpants,Dav Pilkey,1997,"['Childrens literature', 'Humour']"," The story begins with the school troublemakers, George Beard and Harold Hutchins, making a comic featuring a superhero they made-up, The Amazing Captain Underpants. A little later in the book, George and Harold played a series of practical jokes on a football game. They made up the jokes by making the cheerleaders sneeze without being exposed (sprinkling pepper in the cheerleading pom-poms causing them to sneeeze, pouring bubble bath liquid in",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019AD70>
The Rowan,Anne McCaffrey,1990,"['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']"," The Rowan tells the life story of a young orphan, of Prime Talent, from the moment the child's community is wiped out in a mudslide to the time when she becomes a Prime and after a life of loneliness falls in love with a previously undiscovered Prime in a far away star system being attacked by aliens. The central section of the book is based on McCaffrey's earlier short story ""Lady in the Tower"" *Talent Level: T-1 telekin",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019AAA0>
The Bad Seed,William March,1954-04-08,"['Horror', 'Novel']"," Eight-year-old Rhoda is the only child of Kenneth and Christine Penmark. Kenneth Penmark goes away on business, leaving Christine and Rhoda at home. Christine begins to notice that Rhoda has acting strangely after one of her classmates mysteriously drowns, and eventually makes a horrible discovery: Rhoda killed the boy, and will almost certainly kill again.",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019AB90>
The Adventures of Tom Sawyer,Mark Twain,1876,"['Childrens literature', 'Reference', 'Fiction', 'Bildungsroman']"," In the 1840s an imaginative and mischievous boy named Tom Sawyer lives with his Aunt Polly and his half-brother, Sid, in the Mississippi River town of St. Petersburg, Missouri. After playing hooky from school on Friday and dirtying his clothes in a fight, Tom is made to whitewash the fence as punishment all of the next day. At first, Tom's friends are disheartened by having to forfeit his day off. However, he soon cleverly",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019AB30>
Pebble in the Sky,Isaac Asimov,1950,"['Science Fiction', 'Speculative fiction', 'Fiction']"," While walking down the street in Chicago, Joseph Schwartz, a retired tailor, is the unwitting victim of a nearby nuclear laboratory accident, by means of which he is instantaneously transported tens of thousands of years into the future (50,000 years, by one character's estimate, a figure later retconned by future Asimov works as a ""mistake""). He finds himself in a place he does not recognize, and due to apparent changes in the spoken language that far into the past",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019AF20>
Dred: A Tale of the Great Dismal Swamp,Harriet Beecher Stowe,1856,['Novel'],"Dred is the story of Nina Gordon, an impetuous young heiress to a large southern plantation, whose land is rapidly becoming worthless. It is run competently by one of Nina's slaves, Harry, who endures a murderous rivalry with Nina's brother Tom Gordon, a drunken, cruel slaveowner. Nina is a flighty young girl, and maintains several suitors, before finally settling down with a man named Clayton. Clayton is socially and religiously liberal, and very",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019AE60>
A Canticle for Leibowitz,"Walter M. Miller, Jr.",1960,"['Science Fiction', 'Speculative fiction', 'Postholocaust', 'Apocalyptic and postapocalyptic fiction', 'Fantasy', 'Fiction']"," A Canticle for Leibowitz opens 600 years after 20th&nbsp;century civilization has been destroyed by a global nuclear war, known as the ""Flame Deluge"". The text reveals that as a result of the war there was a violent backlash against the culture of advanced knowledge and technology that had led to the development of nuclear weapons. During this backlash, called the ""Simplification,"" anyone of learning, and eventually anyone who could even read, was likely to be",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019ADD0>
Ender's Shadow,Orson Scott Card,1999,"['Science Fiction', 'Speculative fiction']"," Bean, the main character, is a homeless child living in the hellish streets of Rotterdam in roughly 2170 after escaping as an infant from an illegal genetic engineering laboratory. Being hyper-intelligent and extremely young, Bean's experiences revolve primarily around his need for food. He joins a huge gang of children led by a girl named Poke and sets up a system in which they can all receive nourishment at a local soup kitchen. The draw-back on this is their",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019AB60>
The Gambler,Fyodor Dostoyevsky,1867,['Novel']," The first-person narrative is told from the point of view of Alexei Ivanovich, a tutor working for a Russian family living in a suite at a German hotel. The patriarch of the family, The General, is indebted to the Frenchman De Grieux and has mortgaged his property in Russia to pay only a small amount of his debt. Upon learning of the illness of his wealthy aunt, ""Grandmother"", he sends streams of telegrams to Moscow and awaits the news",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019B7F0>
